show_id,tipo,título,director,año_lanzamiento,clasificación,duración
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,2020,PG-13,90 min
s2,TV Show,Blood & Water,,2021,TV-MA,2 Seasons
s3,TV Show,Ganglands,Julien Leclercq,2021,TV-MA,1 Season
s4,TV Show,Jailbirds New Orleans,,2021,TV-MA,1 Season
s5,TV Show,Kota Factory,,2021,TV-MA,2 Seasons
s6,TV Show,Midnight Mass,Mike Flanagan,2021,TV-MA,1 Season
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",2021,PG,91 min
s8,Movie,Sankofa,Haile Gerima,1993,TV-MA,125 min
s9,TV Show,The Great British Baking Show,Andy Devonshire,2021,TV-14,9 Seasons
s10,Movie,The Starling,Theodore Melfi,2021,PG-13,104 min
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,2021,TV-MA,1 Season
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,2021,TV-MA,1 Season
s13,Movie,Je Suis Karl,Christian Schwochow,2021,TV-MA,127 min
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,2021,TV-PG,91 min
s15,TV Show,Crime Stories: India Detectives,,2021,TV-MA,1 Season
s16,TV Show,Dear White People,,2021,TV-MA,4 Seasons
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",2020,TV-MA,67 min
s18,TV Show,Falsa identidad,,2020,TV-MA,2 Seasons
s19,Movie,Intrusion,Adam Salky,2021,TV-14,94 min
s20,TV Show,Jaguar,,2021,TV-MA,1 Season
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,2021,TV-14,1 Season
s22,TV Show,Resurrection: Ertugrul,,2018,TV-14,5 Seasons
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,1996,TV-PG,161 min
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",2021,TV-Y,61 min
s25,Movie,Jeans,S. Shankar,1998,TV-14,166 min
s26,TV Show,Love on the Spectrum,,2021,TV-14,2 Seasons
s27,Movie,Minsara Kanavu,Rajiv Menon,1997,TV-PG,147 min
s28,Movie,Grown Ups,Dennis Dugan,2010,PG-13,103 min
s29,Movie,Dark Skies,Scott Stewart,2013,PG-13,97 min
s30,Movie,Paranoia,Robert Luketic,2013,PG-13,106 min
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",2021,TV-14,111 min
s32,TV Show,Chicago Party Aunt,,2021,TV-MA,1 Season
s33,TV Show,Sex Education,,2020,TV-MA,3 Seasons
s34,TV Show,Squid Game,,2021,TV-MA,1 Season
s35,TV Show,Tayo and Little Wizards,,2020,TV-Y7,1 Season
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,2021,TV-MA,110 min
s37,Movie,The Stronghold,Cédric Jimenez,2021,TV-MA,105 min
s38,TV Show,Angry Birds,,2018,TV-Y7,1 Season
s39,Movie,Birth of the Dragon,George Nolfi,2017,PG-13,96 min
s40,TV Show,Chhota Bheem,,2021,TV-Y7,3 Seasons
s41,TV Show,He-Man and the Masters of the Universe,,2021,TV-Y7,1 Season
s42,Movie,Jaws,Steven Spielberg,1975,PG,124 min
s43,Movie,Jaws 2,Jeannot Szwarc,1978,PG,116 min
s44,Movie,Jaws 3,Joe Alves,1983,PG,98 min
s45,Movie,Jaws: The Revenge,Joseph Sargent,1987,PG-13,91 min
s46,Movie,My Heroes Were Cowboys,Tyler Greco,2021,PG,23 min
s47,Movie,Safe House,Daniel Espinosa,2012,R,115 min
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,2020,TV-MA,1 Season
s49,Movie,Training Day,Antoine Fuqua,2001,R,122 min
s50,TV Show,Castle and Castle,,2021,TV-MA,2 Seasons
s51,TV Show,Dharmakshetra,,2014,TV-PG,1 Season
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,2002,TV-14,99 min
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,2003,TV-14,99 min
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,2004,TV-PG,88 min
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,2001,TV-PG,100 min
s56,TV Show,Nailed It,,2021,TV-PG,6 Seasons
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,2011,TV-14,102 min
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,2008,TV-PG,93 min
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,2009,TV-PG,96 min
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,2007,TV-PG,95 min
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,2010,TV-14,85 min
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,2005,TV-PG,97 min
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,2006,TV-PG,95 min
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,2004,TV-PG,83 min
s65,Movie,Nightbooks,David Yarovesky,2021,TV-PG,103 min
s66,TV Show,Numberblocks,,2021,TV-Y,6 Seasons
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,,2014,TV-G,1 Season
s68,TV Show,Saved by the Bell,,1994,TV-PG,9 Seasons
s69,Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",2021,TV-14,113 min
s70,TV Show,Stories by Rabindranath Tagore,,2015,TV-PG,1 Season
s71,TV Show,Too Hot To Handle: Latino,,2021,TV-MA,1 Season
s72,Movie,A StoryBots Space Adventure,David A. Vargas,2021,TV-Y,13 min
s73,TV Show,Jack Whitehall: Travels with My Father,,2021,TV-MA,5 Seasons
s74,Movie,King of Boys,Kemi Adetiba,2018,TV-MA,182 min
s75,TV Show,The World's Most Amazing Vacation Rentals,,2021,TV-PG,2 Seasons
s76,Movie,You vs. Wild: Out Cold,Ben Simms,2021,TV-G,106 min
s77,TV Show,Yowamushi Pedal,,2013,TV-14,1 Season
s78,Movie,Little Singham - Black Shadow,Prakash Satam,2021,TV-Y7,48 min
s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,2020,TV-14,145 min
s80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,2021,TV-14,145 min
s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,2021,TV-Y7,93 min
s82,Movie,Kate,Cedric Nicolas-Troyan,2021,R,106 min
s83,TV Show,Lucifer,,2021,TV-14,6 Seasons
s84,TV Show,Metal Shop Masters,,2021,TV-MA,1 Season
s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",2020,TV-MA,147 min
s86,TV Show,Pokémon Master Journeys: The Series,,2021,TV-Y7,1 Season
s87,Movie,Prey,Thomas Sieben,2021,TV-MA,87 min
s88,TV Show,Titipo Titipo,,2019,TV-Y,2 Seasons
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,2021,PG-13,96 min
s90,TV Show,Mighty Raju,,2017,TV-Y7,4 Seasons
s91,Movie,Paradise Hills,Alice Waddington,2019,TV-MA,95 min
s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",2021,TV-14,92 min
s93,TV Show,Into the Night,,2021,TV-MA,2 Seasons
s94,Movie,JJ+E,Alexis Almström,2021,TV-MA,91 min
s95,Movie,Show Dogs,Raja Gosnell,2018,PG,90 min
s96,TV Show,The Circle,,2021,TV-MA,3 Seasons
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,2018,TV-MA,97 min
s98,TV Show,Kid Cosmic,,2021,TV-Y7,2 Seasons
s99,TV Show,Octonauts: Above & Beyond,,2021,TV-Y,1 Season
s100,TV Show,On the Verge,,2021,TV-MA,1 Season
s101,TV Show,Tobot Galaxy Detectives,,2019,TV-Y7,2 Seasons
s102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",2021,TV-MA,80 min
s103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,2021,TV-14,1 Season
s104,Movie,Shadow Parties,Yemi Amodu,2020,TV-MA,117 min
s105,TV Show,Tayo the Little Bus,,2016,TV-Y,2 Seasons
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,2017,TV-14,128 min
s107,TV Show,Bunk'd,,2021,TV-G,5 Seasons
s108,Movie,A Champion Heart,David de Vos,2018,G,90 min
s109,TV Show,Dive Club,,2021,TV-G,1 Season
s110,TV Show,La casa de papel,,2021,TV-MA,5 Seasons
s111,TV Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander",2021,TV-MA,1 Season
s112,TV Show,Sharkdog,,2021,TV-Y,1 Season
s113,Movie,Worth,Sara Colangelo,2021,PG-13,119 min
s114,Movie,Afterlife of the Party,Stephen Herek,2021,TV-PG,110 min
s115,Movie,Anjaam,Rahul Rawail,1994,TV-14,143 min
s116,Movie,Bright Star,Jane Campion,2009,PG,119 min
